danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.722|0.74|6|-7.22|0|0.063|0.68|3.27e-05|0.176|0.893|132.731|audio_features|2aYZaN5SmkRDLsrrV8GkBQ|spotify:track:2aYZaN5SmkRDLsrrV8GkBQ|https://api.spotify.com/v1/tracks/2aYZaN5SmkRDLsrrV8GkBQ|https://api.spotify.com/v1/audio-analysis/2aYZaN5SmkRDLsrrV8GkBQ|130615|3|Peso Pluma|LA PATRULLA|1|86
0.786|0.786|4|-6.372|0|0.0512|0.445|2.12e-06|0.0947|0.611|100.123|audio_features|1C84d9abZVKWHT2YYpoean|spotify:track:1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/tracks/1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/audio-analysis/1C84d9abZVKWHT2YYpoean|147011|1|Luis R Conriquez|Si No Quieres No|2|88
0.732|0.873|0|-5.965|1|0.0321|0.0449|0.000803|0.347|0.662|128.029|audio_features|5LhI8m7n8xlQmNe3b7Rwis|spotify:track:5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/audio-analysis/5LhI8m7n8xlQmNe3b7Rwis|187088|3|Natanael Cano|Madonna|3|87
0.69|0.482|7|-6.335|0|0.2|0.523|0.0004|0.0728|0.356|100.029|audio_features|5AH31dDNgxCMGDdxubNNn4|spotify:track:5AH31dDNgxCMGDdxubNNn4|https://api.spotify.com/v1/tracks/5AH31dDNgxCMGDdxubNNn4|https://api.spotify.com/v1/audio-analysis/5AH31dDNgxCMGDdxubNNn4|149074|4|Fuerza Regida|NEL|4|83
0.924|0.668|11|-6.795|1|0.0469|0.446|0.000594|0.0678|0.787|128.027|audio_features|6WatFBLVB0x077xWeoVc2k|spotify:track:6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k|195824|4|KAROL G|Si Antes Te Hubiera Conocido|5|96
0.782|0.539|11|-10.68|1|0.0716|0.319|0.0|0.0905|0.939|122.149|audio_features|41EOhpn50qvd8iZSKw531W|spotify:track:41EOhpn50qvd8iZSKw531W|https://api.spotify.com/v1/tracks/41EOhpn50qvd8iZSKw531W|https://api.spotify.com/v1/audio-analysis/41EOhpn50qvd8iZSKw531W|160424|3|Peso Pluma|LOS CUADROS|6|78
0.798|0.797|11|-3.797|0|0.0471|0.382|0.00039|0.164|0.51|94.012|audio_features|3GWUv0TDO5E3cHfsxYeptt|spotify:track:3GWUv0TDO5E3cHfsxYeptt|https://api.spotify.com/v1/tracks/3GWUv0TDO5E3cHfsxYeptt|https://api.spotify.com/v1/audio-analysis/3GWUv0TDO5E3cHfsxYeptt|209424|4|Peso Pluma|TOMMY & PAMELA|7|82
0.753|0.662|1|-6.702|1|0.0361|0.128|0.0|0.105|0.638|116.916|audio_features|33Nj9AdncSmHbCN3QeSZTL|spotify:track:33Nj9AdncSmHbCN3QeSZTL|https://api.spotify.com/v1/tracks/33Nj9AdncSmHbCN3QeSZTL|https://api.spotify.com/v1/audio-analysis/33Nj9AdncSmHbCN3QeSZTL|204103|3|Oscar Maydon|Volver Al Futuro|8|86
0.715|0.764|6|-6.064|0|0.0946|0.666|8.11e-06|0.148|0.735|125.095|audio_features|02cRoSfWU3RJNFyU3o4lhV|spotify:track:02cRoSfWU3RJNFyU3o4lhV|https://api.spotify.com/v1/tracks/02cRoSfWU3RJNFyU3o4lhV|https://api.spotify.com/v1/audio-analysis/02cRoSfWU3RJNFyU3o4lhV|189834|3|Peso Pluma|SANTAL 33|9|82
0.792|0.516|4|-6.097|0|0.027|0.197|0.0|0.0855|0.916|108.939|audio_features|51qYdMBxt9mFbtZBzq1Yfi|spotify:track:51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/tracks/51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/audio-analysis/51qYdMBxt9mFbtZBzq1Yfi|185933|4|Julión Álvarez y su Norteño Banda|Regalo De Dios|10|84
